v4_1,Data Marking,calendar-years,Time,nuts,geography,sic-unofficial,UnofficialStandardIndustrialClassification,type-of-prices,Prices,quarterly-index-and-growth-rate,GrowthRate
,.,2012,2012,UKF,East Midlands,H,H,cvm,Chained Volume Measure,gra,Annual growth rate
93.69988907,,2012,2012,UKF,East Midlands,H,H,cvm,Chained Volume Measure,aix,Annual index
89.12375786,,2012,2012,UKF,East Midlands,I,I,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,I,I,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,J,J,cvm,Chained Volume Measure,gra,Annual growth rate
89.47932884,,2012,2012,UKF,East Midlands,J,J,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,K,K,cvm,Chained Volume Measure,gra,Annual growth rate
114.5272085,,2012,2012,UKF,East Midlands,K,K,cvm,Chained Volume Measure,aix,Annual index
94.73910384,,2012,2012,UKF,East Midlands,L,L,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,L,L,cvm,Chained Volume Measure,gra,Annual growth rate
80.44751041,,2012,2012,UKF,East Midlands,M,M,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,M,M,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,N,N,cvm,Chained Volume Measure,gra,Annual growth rate
82.15036437,,2012,2012,UKF,East Midlands,N,N,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,O,O,cvm,Chained Volume Measure,gra,Annual growth rate
114.7131604,,2012,2012,UKF,East Midlands,O,O,cvm,Chained Volume Measure,aix,Annual index
102.158835,,2012,2012,UKF,East Midlands,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,P,P,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
90.8928785,,2012,2012,UKF,East Midlands,Q,Q,cvm,Chained Volume Measure,aix,Annual index
89.87618222,,2012,2012,UKF,East Midlands,R,R,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,R,R,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKF,East Midlands,S,S,cvm,Chained Volume Measure,gra,Annual growth rate
95.98975113,,2012,2012,UKF,East Midlands,S,S,cvm,Chained Volume Measure,aix,Annual index
62.83668671,,2012,2012,UKF,East Midlands,T,T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKF,East Midlands,T,T,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
89.7282925,,2012,2012,UKG,West Midlands,A,A,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
89.81325498,,2012,2012,UKG,West Midlands,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
156.0475283,,2012,2012,UKG,West Midlands,B,B,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,B,B,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,B--E,B--E,cvm,Chained Volume Measure,gra,Annual growth rate
87.5882709,,2012,2012,UKG,West Midlands,B--E,B--E,cvm,Chained Volume Measure,aix,Annual index
85.90403696,,2012,2012,UKG,West Midlands,C,C,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,C,C,cvm,Chained Volume Measure,gra,Annual growth rate
96.80131198,,2012,2012,UKG,West Midlands,D,D,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,D,D,cvm,Chained Volume Measure,gra,Annual growth rate
89.42153695,,2012,2012,UKG,West Midlands,E,E,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,E,E,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,F,F,cvm,Chained Volume Measure,gra,Annual growth rate
81.85734762,,2012,2012,UKG,West Midlands,F,F,cvm,Chained Volume Measure,aix,Annual index
82.05840737,,2012,2012,UKG,West Midlands,G,G,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,G,G,cvm,Chained Volume Measure,gra,Annual growth rate
91.20940025,,2012,2012,UKG,West Midlands,G--T,G--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,G--T,G--T,cvm,Chained Volume Measure,gra,Annual growth rate
82.98463937,,2012,2012,UKG,West Midlands,H,H,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,H,H,cvm,Chained Volume Measure,gra,Annual growth rate
101.6253486,,2012,2012,UKG,West Midlands,I,I,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,I,I,cvm,Chained Volume Measure,gra,Annual growth rate
83.81598959,,2012,2012,UKG,West Midlands,J,J,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,J,J,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,K,K,cvm,Chained Volume Measure,gra,Annual growth rate
105.3363222,,2012,2012,UKG,West Midlands,K,K,cvm,Chained Volume Measure,aix,Annual index
94.15523906,,2012,2012,UKG,West Midlands,L,L,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,L,L,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,M,M,cvm,Chained Volume Measure,gra,Annual growth rate
83.50163042,,2012,2012,UKG,West Midlands,M,M,cvm,Chained Volume Measure,aix,Annual index
78.44944874,,2012,2012,UKG,West Midlands,N,N,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,N,N,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,O,O,cvm,Chained Volume Measure,gra,Annual growth rate
105.1303428,,2012,2012,UKG,West Midlands,O,O,cvm,Chained Volume Measure,aix,Annual index
100.5818254,,2012,2012,UKG,West Midlands,P,P,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,P,P,cvm,Chained Volume Measure,gra,Annual growth rate
98.42906837,,2012,2012,UKG,West Midlands,Q,Q,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,Q,Q,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKG,West Midlands,R,R,cvm,Chained Volume Measure,gra,Annual growth rate
86.60030764,,2012,2012,UKG,West Midlands,R,R,cvm,Chained Volume Measure,aix,Annual index
83.60749621,,2012,2012,UKG,West Midlands,S,S,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,S,S,cvm,Chained Volume Measure,gra,Annual growth rate
167.881854,,2012,2012,UKG,West Midlands,T,T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKG,West Midlands,T,T,cvm,Chained Volume Measure,gra,Annual growth rate
,.,2012,2012,UKH,East of England,A,A,cvm,Chained Volume Measure,gra,Annual growth rate
100.7220086,,2012,2012,UKH,East of England,A,A,cvm,Chained Volume Measure,aix,Annual index
89.62684293,,2012,2012,UKH,East of England,A--T,A--T,cvm,Chained Volume Measure,aix,Annual index
,.,2012,2012,UKH,East of England,A--T,A--T,cvm,Chained Volume Measure,gra,Annual growth rate
