V4_3,Data Marking,Lower limit,Upper limit,yyyy-yy,Time,administrative-geography,Geography,measure-of-wellbeing,MeasureOfWellbeing,wellbeing-estimate,Estimate
12.11,,9.64,14.59,2012-13,2012-13,S12000024,Perth and Kinross,worthwhile,Worthwhile,fair,Fair
5.72,,3.54,7.9,2015-16,2015-16,S12000015,Fife,worthwhile,Worthwhile,poor,Poor
37.79,,34.08,41.49,2017-18,2017-18,E10000009,Dorset,worthwhile,Worthwhile,very-good,Very good
36.67,,26.85,46.49,2019-20,2019-20,E07000190,Taunton Deane,worthwhile,Worthwhile,very-good,Very good
,x,,,2018-19,2018-19,E10000009,Dorset,worthwhile,Worthwhile,poor,Poor
,x,,,2011-12,2011-12,E07000191,West Somerset,happiness,Happiness,good,Good
,x,,,2018-19,2018-19,E07000190,Taunton Deane,happiness,Happiness,poor,Poor
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,happiness,Happiness,very-good,Very good
17.75,,15.02,20.49,2013-14,2013-14,E06000029,Poole,happiness,Happiness,fair,Fair
12.13,,9.22,15.03,2016-17,2016-17,S12000046,Glasgow City,happiness,Happiness,poor,Poor
44.77,,37.19,52.36,2014-15,2014-15,E07000052,West Dorset,happiness,Happiness,very-good,Very good
7.33,,5.2,9.45,2015-16,2015-16,S12000024,Perth and Kinross,happiness,Happiness,poor,Poor
48.16,,37.74,58.52,2016-17,2016-17,E07000051,Purbeck,happiness,Happiness,very-good,Very good
19.66,,14.05,25.27,2012-13,2012-13,E07000049,East Dorset,happiness,Happiness,fair,Fair
,x,,,2015-16,2015-16,E06000053,Isles of Scilly,happiness,Happiness,poor,Poor
46.39,,41.53,51.25,2018-19,2018-19,S12000015,Fife,worthwhile,Worthwhile,good,Good
,x,,,2018-19,2018-19,E07000191,West Somerset,worthwhile,Worthwhile,poor,Poor
47.0,35.46,58.54,2017-18,2017-18,E07000048,Christchurch,worthwhile,Worthwhile,very-good,Very good
,x,,,2016-17,2016-17,E07000191,West Somerset,worthwhile,Worthwhile,fair,Fair
51.04,,46.93,55.14,2018-19,2018-19,E10000009,Dorset,worthwhile,Worthwhile,good,Good
,x,,,2017-18,2017-18,E07000191,West Somerset,worthwhile,Worthwhile,very-good,Very good
50.90,,39.48,62.25,2016-17,2016-17,E07000053,Weymouth and Portland,worthwhile,Worthwhile,good,Good
,x,,,2019-20,2019-20,E07000206,Waveney,worthwhile,Worthwhile,fair,Fair
20.92,,14.28,27.56,2019-20,2019-20,E07000205,Suffolk Coastal,anxiety,Anxiety,good,Good
42.60,,38.6,46.59,2017-18,2017-18,E10000009,Dorset,anxiety,Anxiety,very-good,Very good
,x,,,2014-15,2014-15,E07000201,Forest Heath,anxiety,Anxiety,fair,Fair
16.49,,13.35,19.63,2014-15,2014-15,S12000046,Glasgow City,anxiety,Anxiety,fair,Fair
,x,,,2012-13,2012-13,E06000053,Isles of Scilly,anxiety,Anxiety,good,Good
24.37,,16.94,31.8,2013-14,2013-14,E07000050,North Dorset,anxiety,Anxiety,good,Good
,x,,,2015-16,2015-16,E07000206,Waveney,life-satisfaction,Life Satisfaction,poor,Poor
38.40,,29.59,47.21,2015-16,2015-16,E07000050,North Dorset,anxiety,Anxiety,very-good,Very good
,x,,,2016-17,2016-17,E07000051,Purbeck,anxiety,Anxiety,fair,Fair
,x,,,2014-15,2014-15,E07000201,Forest Heath,anxiety,Anxiety,poor,Poor
,x,,,2018-19,2018-19,E07000205,Suffolk Coastal,anxiety,Anxiety,poor,Poor
18.15,,11.69,24.61,2011-12,2011-12,E07000205,Suffolk Coastal,anxiety,Anxiety,poor,Poor
5.06,,1.46,3.78,2014-15,2014-15,S12000046,Glasgow City,life-satisfaction,Life Satisfaction,poor,Poor
16.07,,2.92,10.12,2014-15,2014-15,S12000044,North Lanarkshire,life-satisfaction,Life Satisfaction,fair,Fair
4.11,,2.61,5.6,2013-14,2013-14,S12000015,Fife,life-satisfaction,Life Satisfaction,poor,Poor
