FeatureCode,DateCode,Measurement,Units,Value,Tenure
E07000207,Year ending 2022-03-31,Completions,building-completions,100,Housing Association
E07000207,2022 Q1,Completions,building-completions,60,Housing Association
E07000207,2022 Q3,Completions,building-completions,0,Housing Association
E07000207,Year ending 2022-09-30,Completions,building-completions,90,Housing Association
E07000207,Year ending 2022-06-30,Completions,building-completions,90,Housing Association
E07000207,2022 Q2,Completions,building-completions,0,Housing Association
E07000207,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000207,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000207,2022 Q3,Completions,building-completions,0,Local Authority
E07000207,2022 Q2,Completions,building-completions,0,Local Authority
E07000207,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000207,2022 Q1,Completions,building-completions,0,Local Authority
E07000207,2022 Q1,Completions,building-completions,90,Private Enterprise
E07000207,Year ending 2022-03-31,Completions,building-completions,260,Private Enterprise
E07000207,2022 Q2,Completions,building-completions,30,Private Enterprise
E07000207,Year ending 2022-06-30,Completions,building-completions,260,Private Enterprise
E07000207,2022 Q3,Completions,building-completions,30,Private Enterprise
E07000207,Year ending 2022-09-30,Completions,building-completions,260,Private Enterprise
E07000207,2022 Q3,Completions,building-completions,30,All
E07000207,Year ending 2022-09-30,Completions,building-completions,350,All
E07000207,2022 Q1,Completions,building-completions,160,All
E07000207,Year ending 2022-03-31,Completions,building-completions,350,All
E07000207,Year ending 2022-06-30,Completions,building-completions,350,All
E07000207,2022 Q2,Completions,building-completions,40,All
E07000209,Year ending 2022-03-31,Completions,building-completions,130,Housing Association
E07000209,2022 Q1,Completions,building-completions,40,Housing Association
E07000209,2022 Q3,Completions,building-completions,50,Housing Association
E07000209,Year ending 2022-09-30,Completions,building-completions,130,Housing Association
E07000209,Year ending 2022-06-30,Completions,building-completions,140,Housing Association
E07000209,2022 Q2,Completions,building-completions,30,Housing Association
E07000209,Year ending 2022-06-30,Completions,building-completions,0,Local Authority
E07000209,Year ending 2022-09-30,Completions,building-completions,0,Local Authority
E07000209,2022 Q3,Completions,building-completions,0,Local Authority
E07000209,2022 Q2,Completions,building-completions,0,Local Authority
E07000209,Year ending 2022-03-31,Completions,building-completions,0,Local Authority
E07000209,2022 Q1,Completions,building-completions,0,Local Authority
E07000209,2022 Q1,Completions,building-completions,150,Private Enterprise
E07000209,Year ending 2022-03-31,Completions,building-completions,410,Private Enterprise
E07000209,2022 Q2,Completions,building-completions,170,Private Enterprise
E07000209,Year ending 2022-06-30,Completions,building-completions,500,Private Enterprise
E07000209,2022 Q3,Completions,building-completions,70,Private Enterprise
E07000209,Year ending 2022-09-30,Completions,building-completions,480,Private Enterprise
E07000209,2022 Q3,Completions,building-completions,120,All
E07000209,Year ending 2022-09-30,Completions,building-completions,620,All
E07000209,2022 Q1,Completions,building-completions,190,All
E07000209,Year ending 2022-03-31,Completions,building-completions,540,All
E07000209,Year ending 2022-06-30,Completions,building-completions,640,All
E07000209,2022 Q2,Completions,building-completions,200,All
E07000210,2022 Q1,Completions,building-completions,0,Housing Association
E07000210,Year ending 2022-03-31,Completions,building-completions,0,Housing Association
E07000210,2022 Q3,Completions,building-completions,0,Housing Association
E07000210,Year ending 2022-09-30,Completions,building-completions,0,Housing Association
E07000210,2022 Q2,Completions,building-completions,0,Housing Association
E07000210,Year ending 2022-06-30,Completions,building-completions,0,Housing Association
E07000210,2022 Q2,Completions,building-completions,0,Local Authority
